طرق استخدام البوت|ستجدها هنا https://t.me/I1P1S
كيفية تغيير كلمة المرور|لتغيير كلمة المرور، قم بالدخول إلى الإعدادات، ثم اضغط على "تغيير كلمة المرور" واتباع التعليمات. إذا فقدت الوصول إلى الحساب، يرجى الاتصال بالدعم الفني لاستعادته.
نسيت كلمة السر|إذا نسيت كلمة المرور الخاصة بك، فاتصل بالدعم الفني لاستعادتها
كيفية تغيير البريد الإلكتروني|لتغيير البريد الإكتروني، قم بالدخول إلى الإعدادات، ثم اضغط على "تغيير البريد الإلكتروني" واتباع التعليمات. إذا فقدت الوصول إلى الحساب، يرجى الاتصال بالدعم الفني لاستعادته.
نسيت البريد الإلكتروني|اذا نسيت البريد الاكتروني الخاص بك. اذا كنت في نفس رقم التيليجرام الذي قمت بانشاء الحساب به قم بضغط على انشاء حساب جديد وسيتم عرض معلومات حسابك واذا قد تم فقدان امكانيه الوصول الرجاء الاتصال بفريق الدعم الفني لاستعادته
كيف أعرف أن حسابي قد تم اختراقه؟|إذا تم تسجيل الخروج من حسابك ولم تكن أنت من قام بتسجيل الخروج أو تسجيل الدخول على جهاز آخر أو رقم تيليجرام آخر، فهذا يشير إلى احتمال وجود تسجيل دخول غير مصرح به. لذا، يرجى التأكد من حماية حسابك وعدم مشاركته مع أي شخص آخر. إذا لاحظت أي نشاط غير عادي، يرجى تغيير كلمة المرور فورًا، حيث سيؤدي ذلك إلى طرد المستخدم غير المصرح به ومنعه من الوصول إلى حسابك. إذا فقدت إمكانية الوصول إلى حسابك، يرجى الاتصال بنا فورًا.
عملية تسجيل دخول غير مصرح بها|في حالة ملاحظة عملية تسجيل دخول غير مصرح بها، قم بتغيير كلمة المرور فورًا، حيث سيؤدي ذلك إلى طرد المستخدم غير المصرح به ومنعه من الوصول إلى حسابك. إذا فقدت إمكانية الوصول إلى حسابك، يرجى الاتصال بنا فورًا.
حساب مخترق|تواصل مع فريق الدعم الفني في أسرع وقت ممكن لمنعه من القيام بأي عملية واستعادة حسابك
حساب مفقود|في حالة فقدان إمكانية الوصول إلى حسابك، قدم تفاصيل المشكلة إلى فريق الدعم الفني لاستعادة الوصول إلى حسابك. وسنقوم بمساعدتك في أقرب وقت ممكن.
تأخر عملية الإيداع|عادة ما يتم التأكد من معلومات الايداع في خلال ساعة إلى 24 ساعة. إذا عدت 24 ساعة بدون وصول إعلان لتأكيد الطلب أو رفضة، الرجاء التواصل بالدعم الفني.
عدم وصول عملية السحب|تتم عمليات السحب عادةً خلال ساعة إلى 24 ساعة. في حالة مرور 24 ساعة من وقت الطلب، يرجى الاتصال بالدعم الفني للإبلاغ عن المشكلة.
